model,K,total_r2,predicted_r2,obs_total,obs_predicted,refits,test_months
CA0,1,-0.008690355117144888,-0.009466874487660037,348713,348713,7,83
CA0,2,-0.009668468599936864,-0.010442693076050391,348713,348713,7,83
CA0,3,-0.008532617680937271,-0.009324181857168767,348713,348713,7,83
CA0,4,-0.007837246432928158,-0.00886438190592087,348713,348713,7,83
CA0,5,-0.008830086230905199,-0.009871471631386797,348713,348713,7,83
CA0,6,-0.007779556846389868,-0.009273190590475044,348713,348713,7,83
CA1,1,-0.004231776906070461,-0.010482342629662078,348713,348713,7,83
CA1,2,-0.007341782708801592,-0.016884835908016704,348713,348713,7,83
CA1,3,0.002652562845610773,-0.003723822032025259,348713,348713,7,83
CA1,4,-0.0012801462192042479,-0.004560564950041313,348713,348713,7,83
CA1,5,-0.007094545538402164,-0.019164112202268324,348713,348713,7,83
CA1,6,0.002065361729904236,-0.0034799764478006256,348713,348713,7,83
CA2,1,-0.008627906684641529,-0.00868933023747509,348713,348713,7,83
CA2,2,-0.008111158688342446,-0.00813035890160485,348713,348713,7,83
CA2,3,-0.007559319056294145,-0.00757923142476602,348713,348713,7,83
CA2,4,-0.008633045043332288,-0.008644385017294809,348713,348713,7,83
CA2,5,-0.00844985873130022,-0.008478578205030285,348713,348713,7,83
CA2,6,-0.008717520741975626,-0.008719584971175864,348713,348713,7,83
CA3,1,-0.007439053781093996,-0.007519649367752512,348713,348713,7,83
CA3,2,-0.005868207525429048,-0.005923035339028049,348713,348713,7,83
CA3,3,-0.007523927572197886,-0.007584199283206194,348713,348713,7,83
CA3,4,-0.006632319340221127,-0.006664238996716865,348713,348713,7,83
CA3,5,-0.007956190920524131,-0.00800271206673786,348713,348713,7,83
CA3,6,-0.006671839474360786,-0.006706623204980389,348713,348713,7,83
FF,1,0.1567795751301575,-0.013092362253068313,286400,286400,7,83
FF,2,0.14032580263851913,-0.013521875047881826,286400,286400,7,83
FF,3,0.12058482585336583,-0.013652468408822394,286400,286400,7,83
FF,4,0.10303133258131303,-0.01831715264449052,286400,286400,7,83
FF,5,0.08195552532360195,-0.018972857755496397,286400,286400,7,83
FF,6,0.06449475815311934,-0.020810547075537755,286400,286400,7,83
IPCA,1,0.002948967734674457,-4.759228227402268e-05,348713,348713,7,83
IPCA,2,0.004347023970481367,-2.0011734914282542e-05,348713,348713,7,83
IPCA,3,0.007754892828443438,-0.2018868184545657,348713,348713,7,83
IPCA,4,0.008659210872702161,-0.22255294376785817,348713,348713,7,83
IPCA,5,0.014267742014925089,-0.2659731958853795,348713,348713,7,83
IPCA,6,0.016512622640918462,-0.26180624950788567,348713,348713,7,83
PCA,1,0.11816563651456236,-0.007386927517503139,348713,348713,7,83
PCA,2,0.12499409302881859,-0.006790045744249573,348713,348713,7,83
PCA,3,0.14460035156989348,-0.007655905976791777,348713,348713,7,83
PCA,4,0.15109655739361005,-0.007174502328010313,348713,348713,7,83
PCA,5,0.15639631075452531,-0.007084044665092382,348713,348713,7,83
PCA,6,0.15928253948326654,-0.006874481312801439,348713,348713,7,83
